city,country,lat,lng,capital,population,rent
Vienna,Austria,48.2083,16.3725,primary,1911191,
Graz,Austria,47.0708,15.4386,admin,289440,611
Linz,Austria,48.3,14.2833,admin,204846,680.44
Salzburg,Austria,47.7972,13.0477,admin,155021,953.33
Innsbruck,Austria,47.2683,11.3933,admin,132493,875
Klagenfurt,Austria,46.6167,14.3,admin,101403,
Brussels,Belgium,50.8353,4.3314,primary,1743000,950.48
Antwerp,Belgium,51.2211,4.3997,minor,529247,838.24
Gent,Belgium,51.0536,3.7253,minor,262219,836.67
Charleroi,Belgium,50.4167,4.4442,minor,201816,
Liège,Belgium,50.6397,5.5706,minor,196623,
Bruges,Belgium,51.2089,3.2242,minor,118284,
Anderlecht,Belgium,50.8392,4.3297,,117412,
Namur,Belgium,50.4667,4.8667,admin,110939,
Leuven,Belgium,50.8775,4.7044,minor,100291,814.11
Sarajevo,Bosnia And Herzegovina,43.8563,18.4132,primary,275524,280.1
Banja Luka,Bosnia And Herzegovina,44.7667,17.1833,admin,199191,270.25
Mostar,Bosnia And Herzegovina,43.3494,17.8125,minor,163067,
Bijeljina,Bosnia And Herzegovina,44.75,19.2167,minor,114663,
Tuzla,Bosnia And Herzegovina,44.5381,18.6761,minor,110979,203.78
Sofia,Bulgaria,42.6979,23.3217,primary,1277411,439.93
Plovdiv,Bulgaria,42.1421,24.7415,admin,366511,277.43
Varna,Bulgaria,43.2114,27.9111,admin,347924,317.33
Burgas,Bulgaria,42.503,27.4702,admin,210720,325.13
Ruse,Bulgaria,43.8445,25.9539,admin,143931,
Stara Zagora,Bulgaria,42.4257,25.6346,admin,136475,
Pleven,Bulgaria,43.4132,24.6169,admin,101299,
Santiago,Chile,-33.45,-70.6667,primary,7026000,488.81
Puente Alto,Chile,-33.6167,-70.5833,minor,573935,
Maipú,Chile,-33.5167,-70.7667,,521627,
La Florida,Chile,-33.55,-70.5667,,366916,
Antofagasta,Chile,-23.6464,-70.398,admin,348517,
Viña del Mar,Chile,-33.0245,-71.5518,,332875,
San Bernardo,Chile,-33.6,-70.7167,minor,301313,
Valparaíso,Chile,-33.0458,-71.6197,admin,296655,
Temuco,Chile,-38.7399,-72.5901,admin,282415,
Las Condes,Chile,-33.4167,-70.5833,,249893,
Rancagua,Chile,-34.1654,-70.7398,admin,231370,
Concepción,Chile,-36.8271,-73.0503,admin,217537,
Talca,Chile,-35.4269,-71.6656,admin,206069,
Coquimbo,Chile,-29.9532,-71.338,minor,204068,
Arica,Chile,-18.4784,-70.3211,admin,202131,
La Serena,Chile,-29.9027,-71.252,admin,195382,
Iquique,Chile,-20.2141,-70.1524,admin,188003,
Puerto Montt,Chile,-41.4718,-72.9396,admin,169736,
Chillán,Chile,-36.6067,-72.1033,admin,164270,
Calama,Chile,-22.4624,-68.9272,minor,157575,
Copiapó,Chile,-27.3665,-70.3323,admin,150804,
Valdivia,Chile,-39.8142,-73.2459,admin,150048,
Quilpué,Chile,-33.0498,-71.4415,minor,147991,
Talcahuano,Chile,-36.7145,-73.1141,,147831,
Osorno,Chile,-40.5667,-73.15,minor,147460,
Colina,Chile,-33.2,-70.6833,minor,146207,
Los Ángeles,Chile,-37.4707,-72.3517,minor,143023,
Curicó,Chile,-34.9854,-71.2394,minor,136954,
Villa Alemana,Chile,-33.0428,-71.3744,,125140,
Melipilla,Chile,-33.7,-71.2167,minor,123627,
Punta Arenas,Chile,-53.1627,-70.9081,admin,123403,
La Granja,Chile,-33.5431,-70.6319,,116571,
Coronel,Chile,-37.0167,-73.1333,,116262,
Alto Hospicio,Chile,-20.25,-70.1167,,108375,
Lo Barnechea,Chile,-33.35,-70.5167,,105833,
Zagreb,Croatia,45.8131,15.9772,primary,790017,566.84
Split,Croatia,43.51,16.45,admin,178102,462.68
Rijeka,Croatia,45.3272,14.4411,admin,128624,385.06
Nicosia,Cyprus,35.1725,33.365,primary,330000,622.4
Limassol,Cyprus,34.675,33.0443,admin,235056,1402.7
Prague,Czechia,50.0833,14.4167,primary,1335084,942.06
Brno,Czechia,49.1953,16.6083,admin,382405,702.29
Ostrava,Czechia,49.8356,18.2925,admin,284982,521.17
Plzeň,Czechia,49.7414,13.3825,admin,175219,533.94
Liberec,Czechia,50.77,15.0584,admin,104261,499.96
Olomouc,Czechia,49.5939,17.2508,admin,100514,537.58
Copenhagen,Denmark,55.6805,12.5615,primary,1085000,1669.06
Aarhus,Denmark,56.1572,10.2107,minor,237551,1017.38
Odense,Denmark,55.4004,10.3833,minor,158222,861.64
Aalborg,Denmark,57.0337,9.9166,admin,122219,718
Tallinn,Estonia,59.4372,24.745,primary,438341,643.64
Helsinki,Finland,60.1756,24.9342,primary,642045,970.88
Espoo,Finland,60.21,24.66,minor,269802,1109.66
Tampere,Finland,61.4981,23.76,admin,225118,790
Vantaa,Finland,60.3,25.0333,minor,214605,
Oulu,Finland,65.0142,25.4719,admin,200526,657.38
Turku,Finland,60.4517,22.27,admin,187604,701.67
Jyväskylä,Finland,62.2333,25.7333,admin,137368,
Kuopio,Finland,62.8925,27.6783,admin,120246,
Lahti,Finland,60.9804,25.655,admin,118119,
Paris,France,48.8566,2.3522,primary,11027000,1312.2
Marseille,France,43.2964,5.37,admin,868277,693.75
Lyon,France,45.76,4.84,admin,518635,756.92
Toulouse,France,43.6045,1.444,admin,486828,677.27
Nice,France,43.7034,7.2663,minor,341032,884.23
Nantes,France,47.2181,-1.5528,admin,314138,605.38
Montpellier,France,43.6119,3.8772,minor,290053,
Strasbourg,France,48.5833,7.7458,admin,284677,
Bordeaux,France,44.84,-0.58,admin,257068,
Lille,France,50.6278,3.0583,admin,233098,766.67
Rennes,France,48.1147,-1.6794,admin,217728,
Reims,France,49.2628,4.0347,minor,182211,
Toulon,France,43.1258,5.9306,minor,176198,
Saint-Étienne,France,45.4347,4.3903,minor,173089,
Le Havre,France,49.49,0.1,minor,169733,
Grenoble,France,45.1715,5.7224,minor,157650,594.44
Dijon,France,47.3167,5.0167,admin,156854,
Angers,France,47.4736,-0.5542,minor,154508,
Villeurbanne,France,45.7667,4.8803,,150659,
Nîmes,France,43.838,4.361,minor,149633,
Clermont-Ferrand,France,45.7831,3.0824,minor,146734,
Le Mans,France,48.0077,0.1984,minor,143252,
Aix-en-Provence,France,43.5263,5.4454,minor,143097,
Brest,France,48.39,-4.49,minor,139602,
Tours,France,47.3936,0.6892,minor,136463,
Amiens,France,49.892,2.299,minor,133891,
Limoges,France,45.8353,1.2625,minor,131479,
